7,,,,,,,,,,,,
7,13,,,,,,,,,,,
7,13,14,,,,,,,,,,
7,13,14,12,,,,,,,,,
7,13,14,12,13,,,,,,,1,109
7,13,14,12,13,14,,,,,,2,127
7,13,14,12,13,14,12,,,,,3,120
7,13,14,12,13,14,12,10,,,,4,152
7,13,14,12,13,14,12,10,14,109,,5,131
6,,,,,,,,,,,6,131
6,13,,,,,,,,,,7,130
6,13,15,,,,,,,,,8,144
6,13,15,13,,,,,,,,9,128
6,13,15,13,15,,,,,,,10,132
6,13,15,13,15,15,,,,,,,130.4
6,13,15,13,15,15,19,,,,,,
6,13,15,13,15,15,19,11,,,,,
6,13,15,13,15,15,19,11,20,127,,,
5,,,,,,,,,,,,
5,11,,,,,,,,,,,
5,11,13,,,,,,,,,,
5,11,13,14,,,,,,,,,
5,11,13,14,13,,,,,,,,
5,11,13,14,13,13,,,,,,,
5,11,13,14,13,13,17,,,,,,
5,11,13,14,13,13,17,17,,,,,
5,11,13,14,13,13,17,17,17,120,,,
7,,,,,,,,,,,,
7,12,,,,,,,,,,,
7,12,18,,,,,,,,,,
7,12,18,18,,,,,,,,,
7,12,18,18,23,,,,,,,,
7,12,18,18,23,19,,,,,,,
7,12,18,18,23,19,22,,,,,,
7,12,18,18,23,19,22,17,,,,,
7,12,18,18,23,19,22,17,16,152,,,
7,12,18,18,23,19,22,17,16,15,,,
9,,,,,,,,,,,,
9,13,,,,,,,,,,,
9,13,15,,,,,,,,,,
9,13,15,12,,,,,,,,,
9,13,15,12,15,,,,,,,,
9,13,15,12,15,18,,,,,,,
9,13,15,12,15,18,19,,,,,,
9,13,15,12,15,18,19,12,,,,,
9,13,15,12,15,18,19,12,18,131,,,
9,13,15,12,15,18,19,12,18,20,,,
4,,,,,,,,,,,,
4,8,,,,,,,,,,,
4,8,14,,,,,,,,,,
4,8,14,15,,,,,,,,,
4,8,14,15,17,,,,,,,,
4,8,14,15,17,14,,,,,,,
4,8,14,15,17,14,21,,,,,,
4,8,14,15,17,14,21,19,,,,,
4,8,14,15,17,14,21,19,19,131,,,
5,,,,,,,,,,,,
5,11,,,,,,,,,,,
5,11,13,,,,,,,,,,
5,11,13,13,,,,,,,,,
5,11,13,13,17,,,,,,,,
5,11,13,13,17,16,,,,,,,
5,11,13,13,17,16,16,,,,,,
5,11,13,13,17,16,16,19,,,,,
5,11,13,13,17,16,16,19,20,130,,,
5,11,13,13,17,16,16,19,20,21,,,
6,,,,,,,,,,,,
6,14,,,,,,,,,,,
6,14,18,,,,,,,,,,
6,14,18,16,,,,,,,,,
6,14,18,16,20,,,,,,,,
6,14,18,16,20,15,,,,,,,
6,14,18,16,20,15,17,,,,,,
6,14,18,16,20,15,17,18,,,,,
6,14,18,16,20,15,17,18,20,144,,,
6,,,,,,,,,,,,
6,12,,,,,,,,,,,
6,12,15,,,,,,,,,,
6,12,15,18,,,,,,,,,
6,12,15,18,17,,,,,,,,
6,12,15,18,17,14,,,,,,,
6,12,15,18,17,14,18,,,,,,
6,12,15,18,17,14,18,13,,,,,
6,12,15,18,17,14,18,13,15,128,,,
6,12,15,18,17,14,18,13,15,16,,,
9,,,,,,,,,,,,
9,14,,,,,,,,,,,
9,14,14,,,,,,,,,,
9,14,14,16,,,,,,,,,
9,14,14,16,14,,,,,,,,
9,14,14,16,14,14,,,,,,,
9,14,14,16,14,14,17,,,,,,
9,14,14,16,14,14,17,16,,,,,
9,14,14,16,14,14,17,16,18,132,,,
7
8
8,11
8
8,9
8
8,12
8,12,16
7
7,18
7,18,22
7,18,22,14
7,18,22,14,14
5
6
6,9
5
5,10
5,10,12
7
7,9
7,9,11
6
6,11
6,11,15
5
6
6,12
6,12,10
6,12,10,14
6,12,10,14,11
7
7,12
4
4,11
4,11,15
4,11,15,14
5
5,12
5,12,18
5,12,18,23
5,12,18,23,16
5,12,18,23,16,18
8
8,11
8,11,14
8,11,14,20
8,11,14,20,17
8,11,14,20,17,20
7
7,12
7,12,21
7,12,21,19
7
6
6,15
6,15,19
7
6
6,19
6,19,24
6,19,24,23
9
9,15
9,15,25
6
6,14
6,14,27
6,14,27,27
6,14,27,27,24
8
9
9,12
9
7
5
8
8,14
8
8,12
9
9,11
5
10
9
9,14
8
8
8,12
8
7
8
5
8
8
8
7
7,13
7,13,14
11
7
7
8
8,13
8,13,17
8,13,17,20
8,13,17,20,17
8,13,17,20,17,18
6
7
6
8
6
6,15
6,15,14
8
9
9
13
8
7
7,12
9
7
8
8,13
8,13,17
9
7
7,10
7,10,12
8
8,10
5
7
9
7
9
9,13
9,13,16
7
10
10,16
10
10,15
10,15,12
10,15,12,15
10,15,12,15,19
10,15,12,15,19,15
10,15,12,15,19,15,15
10,15,12,15,19,15,15,22
10,15,12,15,19,15,15,22,14
