5,,,,,,,,,,,,,
5,12,,,,,,,,,,,1,139
5,12,11,,,,,,,,,,2,129
5,12,11,15,,,,,,,,,3,134
5,12,11,15,19,,,,,,,,4,116
5,12,11,15,19,19,,,,,,,5,121
5,12,11,15,19,19,15,,,,,,6,134
5,12,11,15,19,19,15,12,,,,,7,114
5,12,11,15,19,19,15,12,18,,,,8,125
5,12,11,15,19,19,15,12,18,13,139,,9,141
4,,,,,,,,,,,,10,113
4,12,,,,,,,,,,,,126.6
4,12,11,,,,,,,,,,,
4,12,11,8,,,,,,,,,,
4,12,11,8,18,,,,,,,,,
4,12,11,8,18,15,,,,,,,,
4,12,11,8,18,15,18,,,,,,,
4,12,11,8,18,15,18,25,,,,,,
4,12,11,8,18,15,18,25,18,129,,,,
7,,,,,,,,,,,,,
7,6,,,,,,,,,,,,
7,6,16,,,,,,,,,,,
7,6,16,10,,,,,,,,,,
7,6,16,10,19,,,,,,,,,
7,6,16,10,19,22,,,,,,,,
7,6,16,10,19,22,18,,,,,,,
7,6,16,10,19,22,18,16,,,,,,
7,6,16,10,19,22,18,16,20,134,,,,
7,,,,,,,,,,,,,
7,7,,,,,,,,,,,,
7,7,7,,,,,,,,,,,
7,7,7,14,,,,,,,,,,
7,7,7,14,13,,,,,,,,,
7,7,7,14,13,15,,,,,,,,
7,7,7,14,13,15,17,,,,,,,
7,7,7,14,13,15,17,23,,,,,,
7,7,7,14,13,15,17,23,13,116,,,,
8,,,,,,,,,,,,,
8,7,,,,,,,,,,,,
8,7,9,,,,,,,,,,,
8,7,9,14,,,,,,,,,,
8,7,9,14,20,,,,,,,,,
8,7,9,14,20,12,,,,,,,,
8,7,9,14,20,12,14,,,,,,,
8,7,9,14,20,12,14,23,,,,,,
8,7,9,14,20,12,14,23,14,121,,,,
6,,,,,,,,,,,,,
6,13,,,,,,,,,,,,
6,13,14,,,,,,,,,,,
6,13,14,10,,,,,,,,,,
6,13,14,10,16,,,,,,,,,
6,13,14,10,16,19,,,,,,,,
6,13,14,10,16,19,13,,,,,,,
6,13,14,10,16,19,13,22,,,,,,
6,13,14,10,16,19,13,22,21,134,,,,
5,,,,,,,,,,,,,
5,5,,,,,,,,,,,,
5,5,12,,,,,,,,,,,
5,5,12,11,,,,,,,,,,
5,5,12,11,15,,,,,,,,,
5,5,12,11,15,17,,,,,,,,
5,5,12,11,15,17,22,,,,,,,
5,5,12,11,15,17,22,17,,,,,,
5,5,12,11,15,17,22,17,10,114,,,,
4,,,,,,,,,,,,,
4,12,,,,,,,,,,,,
4,12,9,,,,,,,,,,,
4,12,9,13,,,,,,,,,,
4,12,9,13,15,,,,,,,,,
4,12,9,13,15,13,,,,,,,,
4,12,9,13,15,13,13,,,,,,,
4,12,9,13,15,13,13,16,,,,,,
4,12,9,13,15,13,13,16,14,,,,,
4,12,9,13,15,13,13,16,14,16,125,,,
6,,,,,,,,,,,,,
6,16,,,,,,,,,,,,
6,16,13,,,,,,,,,,,
6,16,13,11,,,,,,,,,,
6,16,13,11,21,,,,,,,,,
6,16,13,11,21,14,,,,,,,,
6,16,13,11,21,14,16,,,,,,,
6,16,13,11,21,14,16,25,,,,,,
6,16,13,11,21,14,16,25,19,141,,,,
8,,,,,,,,,,,,,
8,13,,,,,,,,,,,,
8,13,9,,,,,,,,,,,
8,13,9,9,,,,,,,,,,
8,13,9,9,13,,,,,,,,,
8,13,9,9,13,20,,,,,,,,
8,13,9,9,13,20,15,,,,,,,
8,13,9,9,13,20,15,15,,,,,,
8,13,9,9,13,20,15,15,11,113,,,,
